ID,PATH,NAME
Line1_Fib-28-E,[default]SPG/Line 1/Fiberglass/L1SF_01/L1SF_01_VFD_02/COMM/Fault/ALM/Equip_Description,Fiberglass Twin Screw 1 VFD 2
Line1_Fib-29-E,[default]SPG/Line 1/Fiberglass/L1SF_01/L1SF_01_VFD_02/VFD_FLT/Fault/ALM/Equip_Description,Fiberglass Twin Screw 1 VFD 2
Line1_Fib-30-E,[default]SPG/Line 1/Fiberglass/L1BF_05/L1BF_05_PDHH_0505/ALM/Equip_Description,Fiberglass Receiver 5
Line1_Fib-31-E,[default]SPG/Line 1/Fiberglass/L1SF_02/L1SF_02_VFD_01/VFD_FLT/Fault/ALM/Equip_Description,Fiberglass Twin Screw 2 VFD 1
Line1_Fib-32-E,[default]SPG/Line 1/Fiberglass/L1SF_02/L1SF_02_VFD_01/COMM/Fault/ALM/Equip_Description,Fiberglass Twin Screw 2 VFD 1
Line1_Fib-33-E,[default]SPG/Line 1/Fiberglass/L1SF_02/L1SF_02_VFD_01/MCY/ALM/Equip_Description,Fiberglass Twin Screw 2 VFD 1
Line1_Fib-34-E,[default]SPG/Line 1/Fiberglass/L1SF_02/L1SF_02_VFD_02/MCY/ALM/Equip_Description,Fiberglass Twin Screw 2 VFD 2
Line1_Fib-35-E,[default]SPG/Line 1/Fiberglass/L1SF_02/L1SF_02_VFD_02/COMM/Fault/ALM/Equip_Description,Fiberglass Twin Screw 2 VFD 2
Line1_Fib-36-E,[default]SPG/Line 1/Fiberglass/L1SF_02/L1SF_02_VFD_02/VFD_FLT/Fault/ALM/Equip_Description,Fiberglass Twin Screw 2 VFD 2
Line1_Fib-37-E,[default]SPG/Line 1/Fiberglass/L1PX_01/L1PX_01_HS_0527/ALM/Equip_Description,Fiberglass Receiver 5 Bin Activator
Line1_Fib-38-E,[default]SPG/Line 1/Fiberglass/L1PX_02/L1PX_02_HS_0528/ALM/Equip_Description,Fiberglass Receiver 6 Bin Activator
Line1_Fib-39-E,[default]SPG/Line 1/Fiberglass/L1C_02/L1C_02_VFD/VFD_FLT/Fault/ALM/Equip_Description,Fiberglass Vacuum Blower
Line1_Fib-40-E,[default]SPG/Line 1/Fiberglass/L1C_02/L1C_02_VFD/COMM/Fault/ALM/Equip_Description,Fiberglass Vacuum Blower
Line1_Fib-41-E,[default]SPG/Line 1/Fiberglass/L1BF_05/L1BF_05_PDH_0505/ALM/Equip_Description,Fiberglass Receiver 5
Line1_Fib-42-E,[default]SPG/Line 1/Fiberglass/L1C_02/L1C_02_VFD/MCY/ALM/Equip_Description,Fiberglass Vacuum Blower
Line1_Fib-43-E,[default]SPG/Line 1/Mixer/L1VBA_01_VFD/MCY/ALM/Equip_Description,Vibratory Tray VFD
Line1_Fib-44-E,[default]SPG/Line 1/Mixer/L1VBA_01_VFD/COMM/Fault/ALM/Equip_Description,Vibratory Tray VFD
Line1_Fib-45-E,[default]SPG/Line 1/Mixer/L1VBA_01_VFD/VFD_FLT/Fault/ALM/Equip_Description,Vibratory Tray VFD
Line1_Fib-46-E,[default]SPG/Line 1/Mixer/L1VBA_01_VFD/VFD_FLT/Fault/ALM/Equip_Description,Vibratory Tray VFD
Line1_Fib-47-E,[default]SPG/Line 1/Mixer/L1VBA_01_VFD/COMM/Fault/ALM/Equip_Description,Vibratory Tray VFD
Line1_Fib-48-E,[default]SPG/Line 1/Mixer/L1VBA_01_VFD/MCY/ALM/Equip_Description,Vibratory Tray VFD
Line1_Fib-49-E,[default]SPG/Line 1/L1CP_03/L1CP_03_HBS_01/ALM/Equip_Description,HMI Panel
Line1_Fib-50-E,[default]SPG/Line 1/L1CP_01/L1CP_01_JL_01/ALM/Equip_Description,
Line1_Fib-51-E,[default]SPG/Line 1/L1VBA_01/L1VBA_01_HS_0732/ALM/Equip_Description,Vibratory Tray Conveyor
Line1_Fib-52-E,[default]SPG/Line 1/Fiberglass/L1D_05/L1D_05_LSH_0509/ALM/Equip_Description,Fiberglass Receiver 5
Line1_Fib-53-E,[default]SPG/Line 1/L1VBA_01/L1VBA_01_HS_0732/ALM/Equip_Description,Vibratory Tray Conveyor
Line1_Fib-54-E,[default]SPG/Line 1/Fiberglass/Misc/SYS_06_TL2F/ALM/Equip_Description,Fiberglass Receiver 6
Line1_Fib-55-E,[default]SPG/Line 1/Fiberglass/L1C_02/L1C_02_PT_0602/LOLOALM/Equip_Description,Fiberglass Vacuum Blower Vacuum Transmitter
Line1_Fib-56-E,[default]SPG/Line 1/Fiberglass/L1C_02/L1C_02_PT_0602/LOALM/Equip_Description,Fiberglass Vacuum Blower Vacuum Transmitter
Line1_Fib-57-E,[default]SPG/Line 1/Fiberglass/L1C_02/L1C_02_PT_0602/HIALM/Equip_Description,Fiberglass Vacuum Blower Vacuum Transmitter
Line1_Fib-58-E,[default]SPG/Line 1/Fiberglass/L1C_02/L1C_02_PT_0602/HIHIALM/Equip_Description,Fiberglass Vacuum Blower Vacuum Transmitter
Line1_Fib-59-E,[default]SPG/Line 1/Fiberglass/L1PX_01/L1PX_01_YE_0521/ALM/Equip_Description,Fiberglass Receiver 5 Bin Activator
Line1_Fib-60-E,[default]SPG/Line 1/Fiberglass/L1D_06/L1D_06_LSH_0510/ALM/Equip_Description,Fiberglass Receiver 6
Line1_Fib-61-E,[default]SPG/Line 1/Fiberglass/L1BF_06/L1BF_06_PDH_0506/ALM/Equip_Description,Fiberglass Receiver 6
Line1_Fib-62-E,[default]SPG/Line 1/Fiberglass/Misc/SYS_05_TL2F/ALM/Equip_Description,Fiberglass Receiver 5
Line1_Han-1-E,[default]SPG/Line 1/Hand Adds/SYS_4_SCL_BAD_BATCH/ALM/Equip_Description,Hand Adds Ingredients
Line1_Han-2-E,[default]SPG/Line 1/Hand Adds/L1CP_08/L1CP_08_ALM_0402/ALM/Equip_Description,Hand Adds Filter Receiver 4 Explosion Isolation
Line1_Han-3-E,[default]SPG/Line 1/Hand Adds/L1CP_08/L1CP_08_ALM_0416/ALM/Equip_Description,Hand Adds Filter Receiver 4 Explosion Isolation
Line1_Han-4-E,[default]SPG/Line 1/Hand Adds/L1CP_08/L1CP_08_ALM_0415/ALM/Equip_Description,Hand Adds Filter Receiver 4 Explosion Isolation
Line1_Han-5-E,[default]SPG/Line 1/Hand Adds/L1EIV_03/L1EIV_03_ZSC_0452/ALM/Equip_Description,Hand Adds Filter Receiver 4 Explosion Isolation Inlet Slide Gate 
Line1_Han-6-E,[default]SPG/Line 1/Hand Adds/L1EIV_03/L1EIV_03_ZSO_0453/ALM/Equip_Description,Hand Adds Filter Receiver 4 Explosion Isolation Inlet Slide Gate 
Line1_Han-7-E,[default]SPG/Line 1/L1VBA_01/L1VBA_01_HS_0732/ALM/Equip_Description,Vibratory Tray Conveyor
Line1_Han-8-E,[default]SPG/Line 1/Mixer/L1VBA_01_VFD/MCY/ALM/Equip_Description,Vibratory Tray VFD
Line1_Han-9-E,[default]SPG/Line 1/Mixer/L1VBA_01_VFD/COMM/Fault/ALM/Equip_Description,Vibratory Tray VFD
Line1_Han-10-E,[default]SPG/Line 1/Mixer/L1VBA_01_VFD/VFD_FLT/Fault/ALM/Equip_Description,Vibratory Tray VFD
Line1_Han-11-E,[default]SPG/Line 1/Hand Adds/L1MV_08/L1MV_08_YE_0420/ALM/Equip_Description,Hand Adds Filter Receiver 4 Discharge Airlock
Line1_Han-12-E,[default]SPG/Line 1/Hand Adds/L1MV_07/L1MV_07_YE_0419/ALM/Equip_Description,Hand Adds Bag Dump Station Discharge Airlock
Line1_Han-13-E,[default]SPG/Line 1/Hand Adds/L1BF_04/L1BF_04_LSH_0407/ALM/Equip_Description,Hand Adds Filter Receiver 4
Line1_Han-14-E,[default]SPG/Line 1/Hand Adds/L1FV_02/L1FV_02_BS_0402/ALM/Equip_Description,Hand Adds Filter Receiver 4
Line1_Han-15-E,[default]SPG/Line 1/Hand Adds/L1BF_04/L1BF_04_PDH_0404/ALM/Equip_Description,Hand Adds Filter Receiver 4
Line1_Han-16-E,[default]SPG/Line 1/Hand Adds/L1BF_04/L1BF_04_PDHH_0404/ALM/Equip_Description,Hand Adds Filter Receiver 4
Line1_Han-17-E,[default]SPG/Line 1/Powder Release/L1EIV_02/L1EIV_02_ZSO_0452/ALM/Equip_Description,Powder Release Agents Filter Receiver 3 Explosion Isolation Outlet Ventex Valve
Line1_Han-18-E,[default]SPG/Line 1/Hand Adds/L1EIV_04/L1EIV_04_ZSO_0454/ALM/Equip_Description,Hand Adds Filter Receiver 4 Explosion Isolation Outlet Ventex Valve
Line1_Han-19-E,[default]SPG/Line 1/Powder and Adds/L1C_01/L1C_01_HS_0616/ALM/Equip_Description,Powder and Adds Vacuum Blower
Line1_Han-20-E,[default]SPG/Line 1/Powder and Adds/L1C_01/L1C_01_VSH_0601/ALM/Equip_Description,Powder and Adds Vacuum Blower
Line1_Han-21-E,[default]SPG/Line 1/Powder and Adds/L1C_01/L1C_01_YE_0614/ALM/Equip_Description,Powder and Adds Vacuum Blower
Line1_Han-22-E,[default]SPG/Line 1/L1CP_01/L1CP_01_JL_01/ALM/Equip_Description,
Line1_Han-23-E,[default]SPG/Line 1/L1CP_03/L1CP_03_HBS_01/ALM/Equip_Description,HMI Panel
Line1_Han-24-E,[default]SPG/Line 1/L1CP_01/L1CP_01_HBS_01/ALM/Equip_Description,PLC and IO Panel
Line1_Liq-1-E,[default]SPG/Line 1/Liquid/Liquid_PLCConnection/ALM/Equip_Description,PLC
Line1_Liq-2-E,[default]SPG/Line 1/Mixer/SYS_7_SCL_BAD_BATCH/ALM/Equip_Description,Liquid Scale
Line1_Liq-3-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/C9CP_01/C9CP_01_HBS_01/ALM/Equip_Description,PLC Control Panel
Line1_Liq-4-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/C9CP_01/C9CP_01_JL_01/ALM/Equip_Description,PLC Control Panel
Line1_Liq-5-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Premix Tote/C9XV_04/C9XV_04_ZSO_0204/ALM/Equip_Description,Liquid Resin Storage Tank Isolation Valve
Line1_Liq-6-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Premix Tote/C9XV_04/C9XV_04_ZSC_0204/ALM/Equip_Description,Liquid Resin Storage Tank Isolation Valve
Line1_Liq-7-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Liquid Resin/C9D_01/C9D_01_LT_0101/HIHIALM/Equip_Description,Storage Tank Level Transmitter
Line1_Liq-8-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Liquid Resin/C9D_01/C9D_01_LT_0101/HIALM/Equip_Description,Storage Tank Level Transmitter
Line1_Liq-9-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Liquid Resin/C9D_01/C9D_01_TT_0102/LOLOALM/Equip_Description,Storage Tank Temperature Transmitter
Line1_Liq-10-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Liquid Resin/C9D_01/C9D_01_TT_0102/LOALM/Equip_Description,Storage Tank Temperature Transmitter
Line1_Liq-11-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Liquid Resin/C9D_01/C9D_01_TT_0102/HIALM/Equip_Description,Storage Tank Temperature Transmitter
Line1_Liq-12-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Liquid Resin/C9D_01/C9D_01_TT_0102/HIHIALM/Equip_Description,Storage Tank Temperature Transmitter
Line1_Liq-13-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Liquid Resin/C9D_01/C9D_01_TT_0101/HIHIALM/Equip_Description,Storage Tank Temperature Transmitter
Line1_Liq-14-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Liquid Resin/C9D_01/C9D_01_TT_0101/HIALM/Equip_Description,Storage Tank Temperature Transmitter
Line1_Liq-15-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Liquid Resin/C9D_01/C9D_01_TT_0101/LOALM/Equip_Description,Storage Tank Temperature Transmitter
Line1_Liq-16-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Liquid Resin/C9D_01/C9D_01_TT_0101/LOLOALM/Equip_Description,Storage Tank Temperature Transmitter
Line1_Liq-17-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Liquid Resin/C9D_01/C9D_01_LSL_0101/ALM/Equip_Description,Storage Tank
Line1_Liq-18-E,[default]SPG/Line 1/Liquid/L1XV_18/L1XV_18_ZSC_0744/ALM/Equip_Description,Liquid Resin Premix Tote 2 Dribble Valve
Line1_Liq-19-E,[default]SPG/Line 1/Liquid/L1XV_18/L1XV_18_ZSO_0744/ALM/Equip_Description,Liquid Resin Premix Tote 2 Dribble Valve
Line1_Liq-20-E,[default]SPG/Line 1/Liquid/L1XV_08/L1XV_08_ZSC_0711/ALM/Equip_Description,Liquid Resin Premix Tote 2 Isolation Valve
Line1_Liq-21-E,[default]SPG/Line 1/Liquid/L1XV_08/L1XV_08_ZSO_0711/ALM/Equip_Description,Liquid Resin Premix Tote 2 Isolation Valve
Line1_Liq-22-E,[default]SPG/Line 1/Liquid/L1XV_17/L1XV_17_ZSO_0743/ALM/Equip_Description,Liquid Resin Premix Tote 1 Dribble Valve
Line1_Liq-23-E,[default]SPG/Line 1/Liquid/L1XV_07/L1XV_07_ZSC_0710/ALM/Equip_Description,Liquid Resin Premix Tote 1 Isolation Valve
Line1_Liq-24-E,[default]SPG/Line 1/Liquid/L1XV_07/L1XV_07_ZSO_0710/ALM/Equip_Description,Liquid Resin Premix Tote 1 Isolation Valve
Line1_Liq-25-E,[default]SPG/Line 1/Liquid/L1XV_17/L1XV_17_ZSC_0743/ALM/Equip_Description,Liquid Resin Premix Tote 1 Dribble Valve
Line1_Liq-26-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Liquid Resin/C9P_06/C9P_06_VFD/AMP/LOALM/Equip_Description,Storage Tank Pump 2
Line1_Liq-27-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Liquid Resin/C9P_06/C9P_06_VFD/AMP/HIALM/Equip_Description,Storage Tank Pump 2
Line1_Liq-28-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Liquid Resin/C9D_01/C9D_01_LT_0101/LOALM/Equip_Description,Storage Tank Level Transmitter
Line1_Liq-29-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Liquid Resin/C9D_01/C9D_01_LT_0101/LOLOALM/Equip_Description,Storage Tank Level Transmitter
Line1_Liq-30-E,[default]SPG/Line 4/Liquid/L4XV_06/L4XV_06_ZSO_2330/ALM/Equip_Description,Liquid Resin Storage Tank Isolation Valve
Line1_Liq-31-E,[default]SPG/Line 4/Liquid/L4XV_06/L4XV_06_ZSC_2330/ALM/Equip_Description,Liquid Resin Storage Tank Isolation Valve
Line1_Liq-32-E,[default]SPG/Line 3/Liquid/L3XV_06/L3XV_06_ZSO_1823/ALM/Equip_Description,Liquid Resin Storage Tank Isolation Valve
Line1_Liq-33-E,[default]SPG/Line 3/Liquid/L3XV_06/L3XV_06_ZSC_1823/ALM/Equip_Description,Liquid Resin Storage Tank Isolation Valve
Line1_Liq-34-E,[default]SPG/Line 2/Liquid/L2XV_06/L2XV_06_ZSC_1316/ALM/Equip_Description,Liquid Resin Storage Tank Isolation Valve
Line1_Liq-35-E,[default]SPG/Line 2/Liquid/L2XV_06/L2XV_06_ZSO_1316/ALM/Equip_Description,Liquid Resin Storage Tank Isolation Valve
Line1_Liq-36-E,[default]SPG/Line 1/Liquid/L1XV_06/L1XV_06_ZSC_0709/ALM/Equip_Description,Liquid Resin Storage Tank Isolation Valve
Line1_Liq-37-E,[default]SPG/Line 1/Liquid/L1XV_06/L1XV_06_ZSO_0709/ALM/Equip_Description,Liquid Resin Storage Tank Isolation Valve
Line1_Liq-38-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Liquid Resin/C9P_02/C9P_02_VFD/COMM/Fault/ALM/Equip_Description,Storage Tank Pump 1
Line1_Liq-39-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Liquid Resin/C9P_02/C9P_02_VFD/VFD_FLT/Fault/ALM/Equip_Description,Storage Tank Pump 1
Line1_Liq-40-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Liquid Resin/C9P_02/C9P_02_VFD/AMP/LOALM/Equip_Description,Storage Tank Pump 1
Line1_Liq-41-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Liquid Resin/C9P_02/C9P_02_VFD/AMP/HIALM/Equip_Description,Storage Tank Pump 1
Line1_Liq-42-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Liquid Resin/C9P_02/C9P_02_VFD/MCY/ALM/Equip_Description,Storage Tank Pump 1
Line1_Liq-43-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Liquid Resin/C9P_06/C9P_06_VFD/VFD_FLT/Fault/ALM/Equip_Description,Storage Tank Pump 2
Line1_Liq-44-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Liquid Resin/C9P_06/C9P_06_VFD/COMM/Fault/ALM/Equip_Description,Storage Tank Pump 2
Line1_Liq-45-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Liquid Resin/C9P_06/C9P_06_VFD/MCY/ALM/Equip_Description,Storage Tank Pump 2
Line1_Liq-46-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Liquid Resin/C9XV_08/C9XV_08_ZSC_0105/ALM/Equip_Description,Storage Tank Isolation Valve 2
Line1_Liq-47-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Liquid Resin/C9XV_08/C9XV_08_ZSO_0105/ALM/Equip_Description,Storage Tank Isolation Valve 2
Line1_Liq-48-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Liquid Resin/C9XV_02/C9XV_02_ZSO_0102/ALM/Equip_Description,Storage Tank Isolation Valve 1
Line1_Liq-49-E,[default]SPG/Liquid and Dust Collection/Liquid and Truck Unload/Liquid Resin/C9XV_02/C9XV_02_ZSC_0102/ALM/Equip_Description,Storage Tank Isolation Valve 1
Line1_Liq-50-E,[default]SPG/Line 1/L1CP_01/L1CP_01_JL_01/ALM/Equip_Description,
Line1_Liq-51-E,[default]SPG/Line 1/L1CP_03/L1CP_03_HBS_01/ALM/Equip_Description,HMI Panel
Line1_Liq-52-E,[default]SPG/Line 1/L1CP_01/L1CP_01_HBS_01/ALM/Equip_Description,PLC and IO Panel
Line1_Mix-1-E,[default]SPG/Line 1/Hand Adds/SYS_4_SCL_BAD_BATCH/ALM/Equip_Description,Hand Adds Ingredients
Line1_Mix-2-E,[default]SPG/Line 1/Hand Adds/L1BF_04/L1BF_04_PDHH_0404/ALM/Equip_Description,Hand Adds Filter Receiver 4
Line1_Mix-3-E,[default]SPG/Line 1/Hand Adds/L1BF_04/L1BF_04_PDH_0404/ALM/Equip_Description,Hand Adds Filter Receiver 4
Line1_Mix-4-E,[default]SPG/Line 1/Powder Release/L1BF_03/L1BF_03_PDH_0403/ALM/Equip_Description,Powder Release Agents Filter Receiver 3
Line1_Mix-5-E,[default]SPG/Line 1/Powder Release/L1BF_03/L1BF_03_PDHH_0403/ALM/Equip_Description,Powder Release Agents Filter Receiver 3
Line1_Mix-6-E,[default]SPG/Line 1/Powder Loads/L1BF_01/L1BF_01_PDH_0301/ALM/Equip_Description,Powder Loads 1 Filter Receiver 1
Line1_Mix-7-E,[default]SPG/Line 1/Powder Loads/L1BF_01/L1BF_01_PDHH_0301/ALM/Equip_Description,Powder Loads 1 Filter Receiver 1
Line1_Mix-8-E,[default]SPG/Line 1/Mixer/SCL_OVW_BAD_BATCH/ALM/Equip_Description,Mixer
Line1_Mix-9-E,[default]SPG/Line 1/L1CP_01/L1CP_01_HBS_01/ALM/Equip_Description,PLC and IO Panel
Line1_Mix-10-E,[default]SPG/Line 1/L1CP_03/L1CP_03_HBS_01/ALM/Equip_Description,HMI Panel
Line1_Mix-11-E,[default]SPG/Line 1/L1CP_01/L1CP_01_JL_01/ALM/Equip_Description,
